commenterID,commentBody,date_posted
UCxN3-D7cU8rTEPV4P9VbM7g,"Dipomats and head of states could be trusted but criminals like Zionist, Nuclear criminal US and Arab dreaded dictators could not be trusted.They backstabbed two times during the talks",2026-03-24T14:09:47Z
UCynJaJWQvLEXlhLiAQoEd9Q,"What happened to Melania's "" Be best""?",2026-03-24T14:09:02Z
UCiw_y_NOeUmB63e-qv-M4og,Epic F Duck🤣🤣🤣,2026-03-24T14:08:59Z
UCr2fV32fiZjqne6Koe2hBLA,I’m glad people aren’t buying any of this propaganda bs. Y’all played your final hand in all of the misinformation and lies in the past and now we are not going for it again.,2026-03-24T14:08:31Z
UCOlN0VjsDlnTS0tYEI8i2sw,"What happened to the peace talks, lame stream, lying media?!",2026-03-24T14:08:12Z
UCRtjO2yseoDDvoWHYF8j4Lg,Are we great yet?,2026-03-24T14:08:04Z
UC0McqNoktF32ky7Gokx9lAQ,"When they started singing B💣mb B💣mb Tel Aviv, there was no peace talk on the cards.",2026-03-24T14:07:59Z
UCMmdGsw2RtbR95RUeLcrlAw,I thought cease fire? What happened,2026-03-24T14:07:31Z
UCoQ5wZ1I-b1WS4yLcDL2c5g,Let yahoo fight his own war,2026-03-24T14:07:01Z
UCq67YNOpBAWynq0Wdn3spxA,"Can Iran 🇮🇷 do it again,I was sleeping",2026-03-24T14:06:53Z
UCjTrKIB0Wc-MNNC5LjEs9Yw,Some good news in all this,2026-03-24T14:06:45Z
UC4kbrbvEERxr4Tutyoka-QQ,Nice,2026-03-24T14:06:11Z
UC4ARV8V-h-B7Vme_8-i8cyA,More to come … wait and watch this war start by your US administration and Iran will end this …. 😂😂😂,2026-03-24T14:06:00Z
UCYjKHPH4zUhAU7WlZR1GY9Q,Fox is a propaganda channel. U keep on saying the numbers of those who are injured what about the deaths??,2026-03-24T14:05:38Z
UCTcuXz9OHo6dy_qxsuGFELw,"Let isrealis fight they're supposed threat too them ,,!",2026-03-24T14:05:32Z
UCydXaHxYIxulOs42Sa9wQXw,Some one told me iranian men and women heading to US with their bom.,2026-03-24T14:05:17Z
UCutgy-iAOSJkVlSkEuc5peQ,How many fighter jets and ships have the Iranians destroyed...zero,2026-03-24T14:05:14Z
UCNvVoa981Pu0kk7iZpdoypQ,times up Donny,2026-03-24T14:04:50Z
UCZEY6pxc4zzJPFsjOpGhD_Q,Maga where is Donald ?,2026-03-24T14:04:46Z
UCyBAogcSnPdK_e3Fxs-dgOA,Israel bombing itself,2026-03-24T14:04:45Z
UClVmB25WheEbym2sOMSP_ew,Trump is ready to loose a lot to claim he won something.,2026-03-24T14:03:46Z
UC6zsYXtEZChtQ0fZTOvWkwg,I'm really disappointed when iran  missiles are hitting roads instead of buildings,2026-03-24T14:03:45Z
UC8lqQEiSTAsy2jAvi3rY5QQ,Trump talking to whom? Reza Pahlavi 😅😅😅😅. All of Iran leaders have died. There’s no way you can stop all these tiny unit unless you put 200k troops on the ground,2026-03-24T14:03:38Z
UCDcV5XThR1zqOXCMRU_WMmQ,"😂😂😂😂😂! Epic fear not going well. I hope IRAN 🇮🇷 stick to their demands especially with US kicked out of the region entirely, that they should not move from.",2026-03-24T14:03:38Z
UCpuulJ0FM9S-2Ck2ZDncCOw,Looks like Iran is winning,2026-03-24T14:03:38Z
UClVmB25WheEbym2sOMSP_ew,Trump desperately looking for exit door.,2026-03-24T14:03:25Z
